event_title,category,department,target_year,capacity,location,date,time,event_tags,success_rate,actual_success_rate,actual_attendees,actual_engagement,actual_sentiment
IoT Conference,Technology,Electrical,3,180,Auditorium,2024-11-08,13:30,iot sensors,88.0,,,,
Volleyball Match,Sports,Management,1,150,Open Ground,2024-08-20,17:00,sports volleyball,69.0,,,,
Math Olympiad,Academic,Science,2,120,Seminar Room,2024-09-15,14:30,math competition,73.0,,,,
Art Exhibition,Cultural,Management,3,200,Main Hall,2024-10-18,16:00,art exhibition,81.0,,,,
Internship Fair,Professional,Management,3,300,Main Hall,2024-11-25,10:30,internship career,90.0,,,,
Coding Contest,Technology,Computer,2,150,Seminar Room,2024-07-25,12:00,coding programming,84.0,,,,
Badminton Game,Sports,Management,4,80,Open Ground,2024-08-28,18:00,sports badminton,70.0,,,,
Biology Seminar,Academic,Science,1,100,Auditorium,2024-09-20,11:30,biology research,67.0,,,,
Fashion Show,Cultural,Management,2,280,Main Hall,2024-10-30,20:30,fashion design,86.0,,,,
Tech Symposium,Technology,Computer,4,220,Auditorium,2024-12-10,09:30,technology innovation,92.0,,,,
Cricket Match,Sports,Management,3,350,Open Ground,2024-07-18,16:00,sports cricket,75.0,,,,
Debate Competition,Academic,Management,2,150,Seminar Room,2024-08-08,15:00,debate public speaking,77.0,,,,
Photography Workshop,Cultural,Management,1,120,Seminar Room,2024-09-12,14:00,photography art,82.0,,,,
Job Interview,Professional,Management,4,100,Seminar Room,2024-11-18,10:00,interview skills,88.0,,,,
Cybersecurity Talk,Technology,Computer,3,160,Auditorium,2024-07-12,13:30,cybersecurity hacking,89.0,,,,
Hockey Tournament,Sports,Management,2,200,Open Ground,2024-08-25,17:30,sports hockey,72.0,,,,
English Literature,Academic,Management,1,130,Seminar Room,2024-09-28,11:00,literature poetry,68.0,,,,
Film Screening,Cultural,Management,4,240,Main Hall,2024-10-15,19:00,film cinema,84.0,,,,
Networking Event,Professional,Management,3,180,Main Hall,2024-12-05,18:30,networking professional,91.0,,,,
Python Workshop,Technology,Computer,2,110,Seminar Room,2024-07-08,10:30,python programming,87.0,,,,
Table Tennis,Sports,Management,1,60,Seminar Room,2024-08-18,16:30,sports table tennis,66.0,,,,
Statistics Class,Academic,Science,3,140,Auditorium,2024-09-22,14:00,statistics data,71.0,,,,
Singing Contest,Cultural,Management,2,200,Main Hall,2024-10-28,18:30,singing music,85.0,,,,
Resume Workshop,Professional,Management,4,120,Seminar Room,2024-11-12,09:00,resume writing,86.0,,,,
Blockchain Seminar,Technology,Computer,3,130,Auditorium,2024-07-20,15:30,blockchain crypto,90.0,,,,
Football Game,Sports,Management,4,280,Open Ground,2024-08-05,17:00,sports football,74.0,,,,
Economics Forum,Academic,Management,2,160,Seminar Room,2024-09-18,12:30,economics finance,76.0,,,,
Poetry Reading,Cultural,Management,1,90,Seminar Room,2024-10-22,17:30,poetry literature,79.0,,,,
Leadership Talk,Professional,Management,3,170,Auditorium,2024-12-08,11:00,leadership management,88.0,,,,
Cloud Computing,Technology,Computer,4,140,Seminar Room,2024-07-15,14:00,cloud computing,89.0,,,,
Swimming Meet,Sports,Management,2,120,Open Ground,2024-08-12,15:00,sports swimming,70.0,,,,
Geology Trip,Academic,Science,3,80,Open Ground,2024-09-25,08:00,geology field trip,65.0,,,,
Music Concert,Cultural,Management,4,300,Main Hall,2024-10-20,20:00,music concert,90.0,,,,
Startup Demo,Professional,Management,2,150,Seminar Room,2024-11-28,13:00,startup demo,85.0,,,,
Game Development,Technology,Computer,3,100,Seminar Room,2024-07-30,10:00,game development,83.0,,,,
Chess Tournament,Sports,Management,1,80,Seminar Room,2024-08-15,14:30,chess strategy,67.0,,,,
Philosophy Debate,Academic,Management,4,110,Auditorium,2024-09-30,16:00,philosophy ethics,73.0,,,,
Stand-up Comedy,Cultural,Management,2,180,Main Hall,2024-10-25,19:00,comedy entertainment,87.0,,,,
Sales Training,Professional,Management,3,140,Seminar Room,2024-12-15,10:30,sales marketing,84.0,,,,
Mobile App Dev,Technology,Computer,4,120,Seminar Room,2024-07-28,11:30,mobile apps,88.0,,,,
Rugby Match,Sports,Management,2,200,Open Ground,2024-08-22,16:00,sports rugby,71.0,,,,
History Lecture,Academic,Management,1,160,Auditorium,2024-09-15,13:00,history culture,69.0,,,,
Fashion Design,Cultural,Management,3,150,Seminar Room,2024-10-12,15:30,fashion design,82.0,,,,
Mock Interview,Professional,Management,4,90,Seminar Room,2024-11-22,09:30,interview practice,89.0,,,,
VR Experience,Technology,Computer,2,80,Seminar Room,2024-08-08,14:00,virtual reality,91.0,,,,
Archery Contest,Sports,Management,1,100,Open Ground,2024-08-18,15:30,sports archery,68.0,,,,
Sociology Class,Academic,Science,3,130,Auditorium,2024-09-12,11:30,sociology society,72.0,,,,
Drama Workshop,Cultural,Management,4,120,Main Hall,2024-10-08,18:00,drama acting,84.0,,,,
Finance Seminar,Professional,Management,2,180,Seminar Room,2024-12-01,10:00,finance investment,86.0,,,,
Software Testing,Technology,Computer,3,110,Seminar Room,2024-07-25,13:00,software testing qa,85.0,,,,
Marathon Race,Sports,Management,4,300,Open Ground,2024-08-30,06:00,sports marathon,76.0,,,,
Psychology Talk,Academic,Science,1,140,Auditorium,2024-09-28,14:30,psychology mind,74.0,,,,
Band Performance,Cultural,Management,2,220,Main Hall,2024-10-15,19:30,music band,88.0,,,,
Communication Skills,Professional,Management,3,160,Seminar Room,2024-11-20,11:00,communication skills,87.0,,,,
Database Design,Technology,Computer,4,100,Seminar Room,2024-07-18,10:30,database sql,82.0,,,,
Squash Tournament,Sports,Management,1,60,Seminar Room,2024-08-25,17:00,sports squash,65.0,,,,
Anthropology Study,Academic,Science,2,90,Auditorium,2024-09-20,15:00,anthropology culture,70.0,,,,
Painting Workshop,Cultural,Management,3,100,Seminar Room,2024-10-28,16:30,painting art,83.0,,,,
Team Building,Professional,Management,4,200,Open Ground,2024-12-12,09:00,team building,91.0,,,,
AI Ethics Talk,Technology,Computer,2,150,Auditorium,2024-07-22,12:00,ai ethics,89.0,,,,
Cycling Race,Sports,Management,3,150,Open Ground,2024-08-15,07:00,sports cycling,73.0,,,,
Literature Review,Academic,Management,1,120,Seminar Room,2024-09-25,13:30,literature review,71.0,,,,
Jazz Performance,Cultural,Management,4,180,Main Hall,2024-10-20,20:30,jazz music,86.0,,,,
Project Management,Professional,Management,2,140,Seminar Room,2024-11-15,14:00,project management,88.0,,,,
Quantum Computing,Technology,Computer,3,90,Auditorium,2024-08-05,11:00,quantum computing,92.0,,,,
Wrestling Match,Sports,Management,4,200,Open Ground,2024-08-28,18:30,sports wrestling,72.0,,,,
Botany Field Trip,Academic,Science,1,70,Open Ground,2024-09-18,08:30,botany plants,66.0,,,,
Mime Performance,Cultural,Management,2,120,Main Hall,2024-10-25,17:00,mime performance,81.0,,,,
Digital Marketing,Professional,Management,3,170,Seminar Room,2024-12-08,15:30,digital marketing,87.0,,,,
Robotics Competition,Technology,Mechanical,4,160,Auditorium,2024-07-12,09:30,robotics competition,94.0,,,,
Karate Tournament,Sports,Management,1,120,Open Ground,2024-08-20,16:00,sports karate,69.0,,,,
Astronomy Night,Academic,Science,2,100,Open Ground,2024-09-22,20:00,astronomy stars,78.0,,,,
Sculpture Exhibition,Cultural,Management,3,140,Main Hall,2024-10-18,15:00,sculpture art,84.0,,,,
Negotiation Skills,Professional,Management,4,110,Seminar Room,2024-11-28,10:30,negotiation skills,85.0,,,,
DevOps Workshop,Technology,Computer,2,130,Seminar Room,2024-07-30,13:30,devops deployment,86.0,,,,
Fencing Contest,Sports,Management,3,80,Seminar Room,2024-08-12,17:30,sports fencing,67.0,,,,
Political Science,Academic,Management,1,150,Auditorium,2024-09-30,12:00,political science,75.0,,,,
Theater Production,Cultural,Management,4,250,Main Hall,2024-10-22,19:00,theater production,89.0,,,,
Entrepreneurship Talk,Professional,Management,2,180,Auditorium,2024-12-05,11:30,entrepreneurship,90.0,,,,
UI/UX Design,Technology,Computer,3,120,Seminar Room,2024-08-08,14:30,ui ux design,88.0,,,,
Rowing Competition,Sports,Management,4,100,Open Ground,2024-08-18,16:30,sports rowing,70.0,,,,
Microbiology Lab,Academic,Science,1,60,Seminar Room,2024-09-15,10:00,microbiology lab,68.0,,,,
Folk Dance Show,Cultural,Management,2,200,Main Hall,2024-10-30,18:30,folk dance,85.0,,,,
Public Speaking,Professional,Management,3,140,Seminar Room,2024-11-25,13:00,public speaking,87.0,,,,
Automation Workshop,Technology,Mechanical,4,110,Seminar Room,2024-07-25,11:00,automation control,83.0,,,,
Judo Tournament,Sports,Management,1,90,Open Ground,2024-08-28,15:00,sports judo,71.0,,,,
Ecology Seminar,Academic,Science,2,100,Auditorium,2024-09-20,14:00,ecology environment,73.0,,,,
Calligraphy Workshop,Cultural,Management,3,80,Seminar Room,2024-10-15,16:00,calligraphy art,80.0,,,,
Time Management,Professional,Management,4,160,Seminar Room,2024-12-10,09:00,time management,86.0,,,,
Network Security,Technology,Computer,2,140,Auditorium,2024-07-15,15:00,network security,90.0,,,,
Gymnastics Show,Sports,Management,3,150,Open Ground,2024-08-25,18:00,sports gymnastics,74.0,,,,
Thermodynamics Class,Academic,Mechanical,1,120,Auditorium,2024-09-28,11:00,thermodynamics,69.0,,,,
Poetry Workshop,Cultural,Management,4,100,Seminar Room,2024-10-28,17:30,poetry writing,82.0,,,,
Conflict Resolution,Professional,Management,2,130,Seminar Room,2024-11-18,14:30,conflict resolution,84.0,,,,
Embedded Systems,Technology,Electrical,3,90,Seminar Room,2024-08-05,10:00,embedded systems,85.0,,,,
Sailing Competition,Sports,Management,4,80,Open Ground,2024-08-15,14:00,sports sailing,68.0,,,,
Organic Chemistry,Academic,Science,1,110,Auditorium,2024-09-25,13:00,organic chemistry,72.0,,,,
Magic Show,Cultural,Management,2,180,Main Hall,2024-10-20,19:00,magic entertainment,87.0,,,,
Presentation Skills,Professional,Management,3,150,Seminar Room,2024-12-15,10:00,presentation skills,88.0,,,,
Agile Methodology,Technology,Computer,4,120,Seminar Room,2024-07-28,12:30,agile scrum,89.0,,,,
Rock Climbing,Sports,Management,1,60,Open Ground,2024-08-22,16:00,sports climbing,66.0,,,,
Fluid Mechanics,Academic,Mechanical,2,100,Auditorium,2024-09-18,15:30,fluid mechanics,70.0,,,,
Puppet Show,Cultural,Management,3,120,Main Hall,2024-10-25,16:30,puppet show,83.0,,,,
Crisis Management,Professional,Management,4,140,Seminar Room,2024-11-22,11:00,crisis management,86.0,,,,
Data Analytics,Technology,Computer,2,160,Seminar Room,2024-08-12,09:30,data analytics,87.0,,,,
Ping Pong Tournament,Sports,Management,3,80,Seminar Room,2024-08-30,17:00,sports ping pong,67.0,,,,
Structural Engineering,Academic,Civil,1,130,Auditorium,2024-09-22,14:00,structural engineering,74.0,,,,
Origami Workshop,Cultural,Management,4,70,Seminar Room,2024-10-18,15:30,origami art,81.0,,,,
Stress Management,Professional,Management,2,120,Seminar Room,2024-12-08,13:30,stress management,85.0,,,,
Digital Circuits,Technology,Electrical,3,100,Seminar Room,2024-07-20,11:30,digital circuits,84.0,,,,
Frisbee Tournament,Sports,Management,4,100,Open Ground,2024-08-18,16:00,sports frisbee,69.0,,,,
Inorganic Chemistry,Academic,Science,1,90,Auditorium,2024-09-30,10:30,inorganic chemistry,71.0,,,,
Storytelling Session,Cultural,Management,2,110,Seminar Room,2024-10-28,18:00,storytelling,82.0,,,,
Goal Setting,Professional,Management,3,150,Seminar Room,2024-11-15,09:30,goal setting,87.0,,,,
Software Architecture,Technology,Computer,4,130,Auditorium,2024-08-08,14:00,software architecture,91.0,,,,
Equestrian Show,Sports,Management,1,120,Open Ground,2024-08-25,15:30,sports equestrian,73.0,,,,
Materials Science,Academic,Mechanical,2,110,Auditorium,2024-09-15,12:00,materials science,75.0,,,,
Acrobatics Performance,Cultural,Management,3,160,Main Hall,2024-10-22,19:30,acrobatics,86.0,,,,
Innovation Workshop,Professional,Management,4,180,Seminar Room,2024-12-01,10:30,innovation creativity,89.0,,,,
Computer Vision,Technology,Computer,2,100,Seminar Room,2024-07-25,13:00,computer vision,88.0,,,,
Skateboarding Contest,Sports,Management,3,80,Open Ground,2024-08-20,17:30,sports skateboarding,68.0,,,,
Environmental Science,Academic,Science,1,140,Auditorium,2024-09-28,11:30,environmental science,72.0,,,,
Beatboxing Battle,Cultural,Management,4,150,Main Hall,2024-10-15,20:00,beatboxing music,84.0,,,,
Mindfulness Training,Professional,Management,2,100,Seminar Room,2024-11-25,14:00,mindfulness meditation,83.0,,,,
Natural Language Processing,Technology,Computer,3,90,Seminar Room,2024-08-15,10:00,nlp ai,90.0,,,,
Surfing Competition,Sports,Management,4,100,Open Ground,2024-08-28,15:00,sports surfing,70.0,,,,
Geotechnical Engineering,Academic,Civil,1,80,Auditorium,2024-09-20,13:30,geotechnical engineering,69.0,,,,
Juggling Workshop,Cultural,Management,2,90,Seminar Room,2024-10-30,17:00,juggling performance,80.0,,,,
Emotional Intelligence,Professional,Management,3,160,Seminar Room,2024-12-12,11:30,emotional intelligence,85.0,,,,
Augmented Reality,Technology,Computer,4,110,Seminar Room,2024-07-18,12:00,augmented reality,92.0,,,,
Parkour Training,Sports,Management,1,70,Open Ground,2024-08-22,16:30,sports parkour,67.0,,,,
Power Systems,Academic,Electrical,2,120,Auditorium,2024-09-25,14:30,power systems,73.0,,,,
Balloon Art,Cultural,Management,3,80,Seminar Room,2024-10-20,16:00,balloon art,78.0,,,,
Decision Making,Professional,Management,4,140,Seminar Room,2024-11-28,10:00,decision making,86.0,,,,
Distributed Systems,Technology,Computer,2,100,Auditorium,2024-08-05,11:00,distributed systems,89.0,,,,
Bouldering Contest,Sports,Management,3,60,Open Ground,2024-08-15,18:00,sports bouldering,65.0,,,,
Heat Transfer,Academic,Mechanical,1,110,Auditorium,2024-09-18,12:30,heat transfer,71.0,,,,
Face Painting,Cultural,Management,4,100,Main Hall,2024-10-25,15:00,face painting,82.0,,,,
Adaptability Skills,Professional,Management,2,130,Seminar Room,2024-12-05,13:00,adaptability,84.0,,,,
Microservices Architecture,Technology,Computer,3,90,Seminar Room,2024-07-30,14:30,microservices,87.0,,,,
Ultimate Frisbee,Sports,Management,4,120,Open Ground,2024-08-18,17:00,sports ultimate frisbee,72.0,,,,
Circuit Analysis,Academic,Electrical,1,100,Auditorium,2024-09-22,10:00,circuit analysis,70.0,,,,
Graffiti Art,Cultural,Management,2,90,Seminar Room,2024-10-28,18:30,graffiti art,79.0,,,,
Work-Life Balance,Professional,Management,3,150,Seminar Room,2024-11-20,14:00,work life balance,85.0,,,,
Containerization,Technology,Computer,4,80,Seminar Room,2024-08-12,15:00,containers docker,88.0,,,,
Kite Flying,Sports,Management,1,100,Open Ground,2024-08-30,16:00,sports kite flying,68.0,,,,
Concrete Technology,Academic,Civil,2,90,Auditorium,2024-09-30,11:00,concrete technology,74.0,,,,
Pottery Making,Cultural,Management,3,70,Seminar Room,2024-10-18,16:30,pottery art,81.0,,,,
Networking Skills,Professional,Management,4,140,Seminar Room,2024-12-15,09:30,networking skills,86.0,,,,
Signal Processing,Technology,Electrical,2,100,Seminar Room,2024-07-22,13:30,signal processing,85.0,,,,
Laser Tag,Sports,Management,3,150,Open Ground,2024-08-25,19:00,sports laser tag,75.0,,,,
Renewable Energy,Academic,Electrical,1,120,Auditorium,2024-09-15,14:00,renewable energy,76.0,,,,
Mime Workshop,Cultural,Management,4,80,Seminar Room,2024-10-22,17:30,mime art,80.0,,,,
Problem Solving,Professional,Management,2,160,Seminar Room,2024-11-18,10:30,problem solving,87.0,,,,
Version Control,Technology,Computer,3,110,Seminar Room,2024-08-08,11:30,version control git,84.0,,,,
Treasure Hunt,Sports,Management,4,200,Open Ground,2024-08-20,15:00,sports treasure hunt,77.0,,,,
Machine Design,Academic,Mechanical,1,90,Auditorium,2024-09-28,13:00,machine design,72.0,,,,
Woodworking,Cultural,Management,2,60,Seminar Room,2024-10-30,16:00,woodworking,78.0,,,,
Leadership Development,Professional,Management,3,170,Auditorium,2024-12-10,11:00,leadership development,90.0,,,,
Data Structures,Technology,Computer,4,120,Seminar Room,2024-07-15,10:30,data structures,86.0,,,,
Obstacle Course,Sports,Management,1,100,Open Ground,2024-08-28,17:30,sports obstacle course,69.0,,,,
Transportation Engineering,Academic,Civil,2,110,Auditorium,2024-09-20,12:00,transportation engineering,73.0,,,,
Candle Making,Cultural,Management,3,70,Seminar Room,2024-10-25,15:30,candle making,79.0,,,,
Cultural Intelligence,Professional,Management,4,140,Seminar Room,2024-11-25,13:30,cultural intelligence,83.0,,,,
Operating Systems,Technology,Computer,2,130,Auditorium,2024-08-15,14:00,operating systems,88.0,,,,
Tug of War,Sports,Management,3,150,Open Ground,2024-08-22,16:00,sports tug of war,71.0,,,,
Control Systems,Academic,Electrical,1,100,Auditorium,2024-09-25,11:30,control systems,74.0,,,,
Soap Making,Cultural,Management,4,80,Seminar Room,2024-10-20,17:00,soap making,80.0,,,,
Innovation Thinking,Professional,Management,2,150,Seminar Room,2024-12-08,10:00,innovation thinking,89.0,,,,
Compiler Design,Technology,Computer,3,90,Seminar Room,2024-07-28,12:00,compiler design,87.0,,,,
Relay Race,Sports,Management,4,200,Open Ground,2024-08-18,15:30,sports relay race,76.0,,,,
Surveying,Academic,Civil,1,80,Auditorium,2024-09-18,10:30,surveying,68.0,,,,
Leather Crafting,Cultural,Management,2,60,Seminar Room,2024-10-28,16:30,leather crafting,77.0,,,,
Change Management,Professional,Management,3,160,Seminar Room,2024-11-15,14:30,change management,85.0,,,,
Computer Graphics,Technology,Computer,4,110,Seminar Room,2024-08-05,13:00,computer graphics,91.0,,,,
Sack Race,Sports,Management,1,120,Open Ground,2024-08-30,16:30,sports sack race,70.0,,,,
Vibrations,Academic,Mechanical,2,90,Auditorium,2024-09-22,12:30,vibrations,71.0,,,,
Glass Blowing,Cultural,Management,3,50,Seminar Room,2024-10-15,18:00,glass blowing,82.0,,,,
Performance Management,Professional,Management,4,140,Seminar Room,2024-12-01,11:00,performance management,86.0,,,,
Information Security,Technology,Computer,2,120,Auditorium,2024-07-20,15:30,information security,89.0,,,,
Dodgeball Tournament,Sports,Management,3,100,Open Ground,2024-08-25,17:00,sports dodgeball,72.0,,,,
Water Resources,Academic,Civil,1,100,Auditorium,2024-09-30,13:00,water resources,73.0,,,,
Jewelry Making,Cultural,Management,4,70,Seminar Room,2024-10-22,16:00,jewelry making,81.0,,,,
Strategic Planning,Professional,Management,2,180,Seminar Room,2024-11-28,09:00,strategic planning,88.0,,,,
Human Computer Interaction,Technology,Computer,3,100,Seminar Room,2024-08-12,14:00,hci usability,85.0,,,,
Capture the Flag,Sports,Management,4,150,Open Ground,2024-08-20,18:00,sports capture flag,74.0,,,,
Digital Signal Processing,Academic,Electrical,1,80,Auditorium,2024-09-15,11:00,digital signal processing,72.0,,,,
Tie-Dye Workshop,Cultural,Management,2,90,Seminar Room,2024-10-30,17:30,tie dye art,78.0,,,,
Quality Management,Professional,Management,3,150,Seminar Room,2024-12-12,10:30,quality management,87.0,,,,
Parallel Computing,Technology,Computer,4,90,Seminar Room,2024-07-25,11:30,parallel computing,90.0,,,,
Scavenger Hunt,Sports,Management,1,180,Open Ground,2024-08-28,15:30,sports scavenger hunt,75.0,,,,
Fluid Dynamics,Academic,Mechanical,2,100,Auditorium,2024-09-25,14:00,fluid dynamics,70.0,,,,
Embroidery Class,Cultural,Management,3,60,Seminar Room,2024-10-18,15:00,embroidery art,79.0,,,,
Risk Management,Professional,Management,4,140,Seminar Room,2024-11-22,13:00,risk management,86.0,,,,
Software Engineering,Technology,Computer,2,130,Auditorium,2024-08-08,10:00,software engineering,88.0,,,,
Water Balloon Fight,Sports,Management,3,120,Open Ground,2024-08-15,18:30,sports water balloon,73.0,,,,
Electromagnetic Fields,Academic,Electrical,1,90,Auditorium,2024-09-20,12:00,electromagnetic fields,71.0,,,,
Origami Birds,Cultural,Management,4,80,Seminar Room,2024-10-25,16:30,origami birds,80.0,,,,
Diversity Training,Professional,Management,2,160,Seminar Room,2024-12-05,14:00,diversity inclusion,84.0,,,,
Artificial Intelligence,Technology,Computer,3,140,Auditorium,2024-07-18,13:00,artificial intelligence,93.0,,,,
Balloon Volleyball,Sports,Management,4,100,Open Ground,2024-08-22,17:30,sports balloon volleyball,69.0,,,,
Structural Analysis,Academic,Civil,1,110,Auditorium,2024-09-28,10:00,structural analysis,72.0,,,,
Macrame Workshop,Cultural,Management,2,70,Seminar Room,2024-10-20,17:00,macrame art,78.0,,,,
Talent Management,Professional,Management,3,150,Seminar Room,2024-11-20,11:30,talent management,85.0,,,,
Distributed Computing,Technology,Computer,4,100,Seminar Room,2024-08-30,12:00,distributed computing,89.0,,,,
Limbo Contest,Sports,Management,1,80,Open Ground,2024-08-18,19:00,sports limbo,68.0,,,,
Manufacturing Processes,Academic,Mechanical,2,120,Auditorium,2024-09-15,13:30,manufacturing processes,74.0,,,,
Decoupage Art,Cultural,Management,3,60,Seminar Room,2024-10-28,16:00,decoupage art,77.0,,,,
Mentorship Program,Professional,Management,4,180,Seminar Room,2024-12-15,10:00,mentorship,87.0,,,,
Deep Learning,Technology,Computer,2,110,Seminar Room,2024-07-12,14:30,deep learning,92.0,,,,
Musical Chairs,Sports,Management,3,100,Open Ground,2024-08-25,18:30,sports musical chairs,70.0,,,,
Highway Engineering,Academic,Civil,1,90,Auditorium,2024-09-22,11:00,highway engineering,71.0,,,,
Silk Painting,Cultural,Management,4,50,Seminar Room,2024-10-15,18:30,silk painting,81.0,,,,
Succession Planning,Professional,Management,2,140,Seminar Room,2024-11-18,12:00,succession planning,86.0,,,,
Computer Networks,Technology,Computer,3,120,Auditorium,2024-08-05,11:30,computer networks,87.0,,,,
Hopscotch Tournament,Sports,Management,4,60,Open Ground,2024-08-20,16:00,sports hopscotch,67.0,,,,
Analog Circuits,Academic,Electrical,1,80,Auditorium,2024-09-30,14:30,analog circuits,73.0,,,,
Stained Glass,Cultural,Management,2,50,Seminar Room,2024-10-25,17:30,stained glass art,79.0,,,,
Organizational Behavior,Professional,Management,3,160,Seminar Room,2024-12-10,13:00,organizational behavior,85.0,,,,
Information Theory,Technology,Computer,4,90,Seminar Room,2024-07-30,10:00,information theory,88.0,,,,
Red Light Green Light,Sports,Management,1,100,Open Ground,2024-08-28,17:00,sports red light green light,69.0,,,,
Concrete Structures,Academic,Civil,2,100,Auditorium,2024-09-18,12:00,concrete structures,72.0,,,,
Batik Art,Cultural,Management,3,70,Seminar Room,2024-10-22,16:30,batik art,80.0,,,,
Team Dynamics,Professional,Management,4,150,Seminar Room,2024-11-25,11:00,team dynamics,86.0,,,,
Robotics Programming,Technology,Mechanical,2,80,Seminar Room,2024-08-12,09:00,robotics programming,84.0,,,,
Fashion Show,Cultural,Management,3,280,Main Hall,2024-12-15,18:00,"fashion, culture",90.0,,,,
Internship Panel,Professional,Computer,4,130,Seminar Room,2024-07-29,14:00,"career, internship",83.0,,,,
English Debate,Academic,Science,2,120,Main Hall,2024-09-02,12:00,"debate, english",76.0,,,,
Marathon,Sports,Mechanical,2,300,Open Ground,2024-11-05,07:00,"run, sports",88.0,,,,
Data Science Panel,Technology,Computer,4,150,Virtual,2024-08-11,11:00,"data, analytics",91.0,,,,
Street Play,Cultural,Civil,3,200,Open Ground,2024-10-10,17:30,"play, social",85.0,,,,
Elevator Pitch,Professional,Management,4,100,Seminar Room,2024-09-08,10:30,"startup, pitch",82.0,,,,
Chem Lab Safety,Academic,Science,1,80,Seminar Room,2024-07-16,09:00,"lab, safety",70.0,,,,
Chess Tournament,Sports,Computer,1,90,Main Hall,2024-08-27,14:30,"chess, sports",74.0,,,,
Django Workshop,Technology,Computer,3,100,Seminar Room,2024-09-20,10:00,"web, python",86.0,,,,
Festive Gala,Cultural,Management,3,350,Auditorium,2024-12-05,19:00,"festival, culture",92.0,,,,
Resume Review,Professional,Management,4,70,Seminar Room,2024-08-01,10:30,"resume, review",81.0,,,,
Environmental Quiz,Academic,Science,2,110,Seminar Room,2024-09-04,11:00,"environment, nature",79.0,,,,
Tug of War,Sports,Civil,1,130,Open Ground,2024-10-17,16:30,"tug, sports",76.0,,,,
Cloud Computing 101,Technology,Computer,3,120,Virtual,2024-07-19,13:00,"cloud, aws",88.0,,,,
Street Dance Show,Cultural,Electrical,2,250,Auditorium,2024-10-25,18:30,"dance, freestyle",87.0,,,,
Startup Stories,Professional,Computer,4,140,Seminar Room,2024-08-13,11:30,"startup, journey",85.0,,,,
AI Workshop,Technology,Computer,3,150,Auditorium,2024-07-15,14:00,"ai, ml, workshop",85.0,,,,
Robotics Competition,Technology,Mechanical,2,200,Main Hall,2024-08-20,10:30,"robotics, competition",78.0,,,,
Cultural Fest,Cultural,Management,1,350,Open Ground,2024-09-05,09:00,"cultural, fest, music",92.0,,,,
Data Science Seminar,Academic,Science,4,100,Seminar Room,2024-07-22,13:45,"data science, seminar",75.0,,,,
Cricket Tournament,Sports,Electrical,2,250,Open Ground,2024-10-12,15:00,"sports, cricket",88.0,,,,
Career Fair,Professional,Management,3,300,Main Hall,2024-08-08,11:00,"career, professional",80.0,,,,
Machine Learning Bootcamp,Technology,Computer,4,120,Auditorium,2024-09-18,14:30,"ml, bootcamp",82.0,,,,
Debate Competition,Academic,Civil,1,80,Seminar Room,2024-07-30,10:00,"debate, competition",70.0,,,,
Dance Workshop,Cultural,Management,2,180,Main Hall,2024-11-10,16:00,"dance, workshop",90.0,,,,
Engineering Expo,Technology,Mechanical,3,220,Main Hall,2024-10-25,09:30,"engineering, expo",77.0,,,,
Math Olympiad,Academic,Science,1,90,Seminar Room,2024-08-14,13:00,"math, olympiad",72.0,,,,
Basketball Championship,Sports,Electrical,2,200,Open Ground,2024-09-28,14:00,"sports, basketball",85.0,,,,
Networking Event,Professional,Management,4,150,Seminar Room,2024-11-15,17:30,"networking, professional",79.0,,,,
Hackathon,Technology,Computer,3,180,Auditorium,2024-10-05,10:00,"hackathon, coding",88.0,,,,
Music Concert,Cultural,Management,1,400,Open Ground,2024-12-05,18:00,"music, concert",95.0,,,,
Python Workshop,Technology,Computer,2,110,Seminar Room,2024-07-28,14:00,"python, workshop",81.0,,,,
Research Symposium,Academic,Science,4,130,Auditorium,2024-09-12,11:30,"research, symposium",73.0,,,,
Volleyball Match,Sports,Civil,2,150,Open Ground,2024-08-25,16:00,"sports, volleyball",83.0,,,,
Finance Seminar,Professional,Management,3,170,Main Hall,2024-10-18,15:30,"finance, seminar",76.0,,,,
IoT Workshop,Technology,Electrical,4,140,Seminar Room,2024-11-22,10:00,"iot, workshop",84.0,,,,
Theater Play,Cultural,Management,1,250,Main Hall,2024-12-12,19:00,"theater, play",91.0,,,,
AI Panel Discussion,Technology,Computer,3,160,Auditorium,2024-08-10,13:00,"ai, panel",80.0,,,,
Chemistry Quiz,Academic,Science,2,95,Seminar Room,2024-09-15,10:30,"chemistry, quiz",68.0,,,,
Football Match,Sports,Mechanical,1,300,Open Ground,2024-10-30,15:00,"sports, football",87.0,,,,
Leadership Talk,Professional,Management,4,120,Seminar Room,2024-11-08,14:00,"leadership, talk",78.0,,,,
Web Dev Bootcamp,Technology,Computer,2,200,Auditorium,2024-07-20,09:00,"web, dev, bootcamp",83.0,,,,
Poetry Slam,Cultural,Civil,1,180,Main Hall,2024-08-30,17:00,"poetry, slam",89.0,,,,
Physics Workshop,Academic,Science,3,105,Seminar Room,2024-10-10,11:00,"physics, workshop",74.0,,,,
Badminton Tournament,Sports,Electrical,2,160,Open Ground,2024-09-25,16:30,"sports, badminton",82.0,,,,
Startup Pitch,Professional,Management,4,190,Main Hall,2024-12-08,10:00,"startup, pitch",85.0,,,,
Cybersecurity Seminar,Technology,Computer,3,140,Auditorium,2024-08-05,14:00,"cybersecurity, seminar",79.0,,,,
